           Time Step     Kinetic Energy eV     Potential Energy eV       Total Energy eV
                   1           77.6653807         -104.1190818          -26.4537011
                   2           77.6653165         -104.1190177          -26.4537011
                   3           77.6651991         -104.1189002          -26.4537011
                   4           77.6650284         -104.1187296          -26.4537011
                   5           77.6648045         -104.1185056          -26.4537011
                   6           77.6645273         -104.1182285          -26.4537011
                   7           77.6641969         -104.1178980          -26.4537011
                   8           77.6638131         -104.1175143          -26.4537011
                   9           77.6633761         -104.1170772          -26.4537011
                  10           77.6628858         -104.1165869          -26.4537011
                  11           77.6623421         -104.1160432          -26.4537011
                  12           77.6617451         -104.1154463          -26.4537011
                  13           77.6610948         -104.1147960          -26.4537011
                  14           77.6603911         -104.1140923          -26.4537011
                  15           77.6596341         -104.1133352          -26.4537011
                  16           77.6588237         -104.1125248          -26.4537011
                  17           77.6579598         -104.1116610          -26.4537011
                  18           77.6570425         -104.1107437          -26.4537011
                  19           77.6560718         -104.1097730          -26.4537011
                  20           77.6550477         -104.1087488          -26.4537011
                  21           77.6539700         -104.1076712          -26.4537011
                  22           77.6528389         -104.1065400          -26.4537011
                  23           77.6516542         -104.1053553          -26.4537012
                  24           77.6504160         -104.1041171          -26.4537012
                  25           77.6491242         -104.1028253          -26.4537012
                  26           77.6477788         -104.1014799          -26.4537012
                  27           77.6463798         -104.1000809          -26.4537012
                  28           77.6449271         -104.0986283          -26.4537012
                  29           77.6434208         -104.0971219          -26.4537012
                  30           77.6418607         -104.0955619          -26.4537012
                  31           77.6402469         -104.0939481          -26.4537012
                  32           77.6385794         -104.0922806          -26.4537012
                  33           77.6368581         -104.0905593          -26.4537012
                  34           77.6350829         -104.0887841          -26.4537012
                  35           77.6332539         -104.0869551          -26.4537012
                  36           77.6313711         -104.0850722          -26.4537012
                  37           77.6294342         -104.0831354          -26.4537012
                  38           77.6274435         -104.0811447          -26.4537012
                  39           77.6253987         -104.0790999          -26.4537012
                  40           77.6232999         -104.0770011          -26.4537012
                  41           77.6211471         -104.0748483          -26.4537012
                  42           77.6189402         -104.0726414          -26.4537012
                  43           77.6166791         -104.0703803          -26.4537012
                  44           77.6143638         -104.0680650          -26.4537012
                  45           77.6119943         -104.0656955          -26.4537012
                  46           77.6095706         -104.0632718          -26.4537012
                  47           77.6070925         -104.0607938          -26.4537012
                  48           77.6045601         -104.0582614          -26.4537012
                  49           77.6019734         -104.0556746          -26.4537012
                  50           77.5993322         -104.0530334          -26.4537012
                  51           77.5966365         -104.0503377          -26.4537012
                  52           77.5938862         -104.0475875          -26.4537012
                  53           77.5910815         -104.0447827          -26.4537012
                  54           77.5882221         -104.0419233          -26.4537012
                  55           77.5853080         -104.0390092          -26.4537013
                  56           77.5823392         -104.0360404          -26.4537013
                  57           77.5793156         -104.0330169          -26.4537013
                  58           77.5762373         -104.0299385          -26.4537013
                  59           77.5731040         -104.0268053          -26.4537013
                  60           77.5699158         -104.0236171          -26.4537013
                  61           77.5666727         -104.0203740          -26.4537013
                  62           77.5633745         -104.0170758          -26.4537013
                  63           77.5600213         -104.0137225          -26.4537013
                  64           77.5566128         -104.0103141          -26.4537013
                  65           77.5531492         -104.0068505          -26.4537013
                  66           77.5496304         -104.0033317          -26.4537013
                  67           77.5460562         -103.9997575          -26.4537013
                  68           77.5424267         -103.9961280          -26.4537013
                  69           77.5387417         -103.9924430          -26.4537013
                  70           77.5350012         -103.9887025          -26.4537013
                  71           77.5312052         -103.9849065          -26.4537013
                  72           77.5273535         -103.9810549          -26.4537013
                  73           77.5234462         -103.9771475          -26.4537013
                  74           77.5194831         -103.9731844          -26.4537013
                  75           77.5154642         -103.9691656          -26.4537014
                  76           77.5113894         -103.9650908          -26.4537014
                  77           77.5072587         -103.9609601          -26.4537014
                  78           77.5030720         -103.9567733          -26.4537014
                  79           77.4988292         -103.9525305          -26.4537014
                  80           77.4945302         -103.9482316          -26.4537014
                  81           77.4901750         -103.9438764          -26.4537014
                  82           77.4857635         -103.9394649          -26.4537014
                  83           77.4812957         -103.9349971          -26.4537014
                  84           77.4767714         -103.9304728          -26.4537014
                  85           77.4721906         -103.9258921          -26.4537014
                  86           77.4675533         -103.9212547          -26.4537014
                  87           77.4628593         -103.9165607          -26.4537014
                  88           77.4581085         -103.9118099          -26.4537014
                  89           77.4533009         -103.9070024          -26.4537014
                  90           77.4484365         -103.9021379          -26.4537014
                  91           77.4435151         -103.8972165          -26.4537015
                  92           77.4385366         -103.8922380          -26.4537015
                  93           77.4335010         -103.8872025          -26.4537015
                  94           77.4284082         -103.8821097          -26.4537015
                  95           77.4232581         -103.8769596          -26.4537015
                  96           77.4180506         -103.8717521          -26.4537015
                  97           77.4127857         -103.8664872          -26.4537015
                  98           77.4074633         -103.8611648          -26.4537015
                  99           77.4020832         -103.8557847          -26.4537015
                 100           77.3966454         -103.8503469          -26.4537015
                 101           77.3911498         -103.8448513          -26.4537015
                 102           77.3855964         -103.8392979          -26.4537015
                 103           77.3799849         -103.8336865          -26.4537015
                 104           77.3743154         -103.8280170          -26.4537015
                 105           77.3685878         -103.8222893          -26.4537016
                 106           77.3628019         -103.8165035          -26.4537016
                 107           77.3569577         -103.8106593          -26.4537016
                 108           77.3510550         -103.8047566          -26.4537016
                 109           77.3450939         -103.7987955          -26.4537016
                 110           77.3390741         -103.7927757          -26.4537016
                 111           77.3329956         -103.7866972          -26.4537016
                 112           77.3268583         -103.7805600          -26.4537016
                 113           77.3206622         -103.7743638          -26.4537016
                 114           77.3144070         -103.7681086          -26.4537016
                 115           77.3080927         -103.7617944          -26.4537016
                 116           77.3017192         -103.7554209          -26.4537016
                 117           77.2952865         -103.7489881          -26.4537017
                 118           77.2887943         -103.7424960          -26.4537017
                 119           77.2822427         -103.7359444          -26.4537017
                 120           77.2756315         -103.7293331          -26.4537017
                 121           77.2689605         -103.7226622          -26.4537017
                 122           77.2622298         -103.7159315          -26.4537017
                 123           77.2554391         -103.7091408          -26.4537017
                 124           77.2485886         -103.7022903          -26.4537017
                 125           77.2416781         -103.6953798          -26.4537017
                 126           77.2347073         -103.6884091          -26.4537018
                 127           77.2276764         -103.6813782          -26.4537018
                 128           77.2205853         -103.6742872          -26.4537019
                 129           77.2134337         -103.6671356          -26.4537019
                 130           77.2062216         -103.6599235          -26.4537019
                 131           77.1989486         -103.6526505          -26.4537019
                 132           77.1916147         -103.6453167          -26.4537019
                 133           77.1842199         -103.6379218          -26.4537019
                 134           77.1767639         -103.6304659          -26.4537019
                 135           77.1692467         -103.6229487          -26.4537020
                 136           77.1616682         -103.6153702          -26.4537020
                 137           77.1540285         -103.6077305          -26.4537021
                 138           77.1463274         -103.6000295          -26.4537021
                 139           77.1385649         -103.5922668          -26.4537019
                 140           77.1307408         -103.5844427          -26.4537019
                 141           77.1228549         -103.5765567          -26.4537019
                 142           77.1149069         -103.5686088          -26.4537018
                 143           77.1068971         -103.5605989          -26.4537018
                 144           77.0988250         -103.5525269          -26.4537018
                 145           77.0906906         -103.5443925          -26.4537019
                 146           77.0824939         -103.5361957          -26.4537019
                 147           77.0742347         -103.5279366          -26.4537019
                 148           77.0659130         -103.5196148          -26.4537019
                 149           77.0575286         -103.5112305          -26.4537019
                 150           77.0490812         -103.5027830          -26.4537019
                 151           77.0405708         -103.4942727          -26.4537019
                 152           77.0319977         -103.4856997          -26.4537020
                 153           77.0233620         -103.4770640          -26.4537020
                 154           77.0146633         -103.4683653          -26.4537021
                 155           77.0059011         -103.4596032          -26.4537021
                 156           76.9970754         -103.4507776          -26.4537022
                 157           76.9881861         -103.4418883          -26.4537022
                 158           76.9792332         -103.4329354          -26.4537022
                 159           76.9702164         -103.4239187          -26.4537022
                 160           76.9611359         -103.4148381          -26.4537022
                 161           76.9519914         -103.4056935          -26.4537022
                 162           76.9427829         -103.3964851          -26.4537022
                 163           76.9335106         -103.3872128          -26.4537022
                 164           76.9241742         -103.3778764          -26.4537022
                 165           76.9147731         -103.3684752          -26.4537021
                 166           76.9053077         -103.3590098          -26.4537021
                 167           76.8957778         -103.3494800          -26.4537021
                 168           76.8861831         -103.3398851          -26.4537021
                 169           76.8765231         -103.3302252          -26.4537021
                 170           76.8667982         -103.3205003          -26.4537021
                 171           76.8570081         -103.3107102          -26.4537022
                 172           76.8471528         -103.3008551          -26.4537023
                 173           76.8372327         -103.2909348          -26.4537021
                 174           76.8272470         -103.2809492          -26.4537022
                 175           76.8171956         -103.2708978          -26.4537022
                 176           76.8070783         -103.2607806          -26.4537024
                 177           76.7968947         -103.2505970          -26.4537023
                 178           76.7866447         -103.2403469          -26.4537022
                 179           76.7763283         -103.2300306          -26.4537023
                 180           76.7659454         -103.2196477          -26.4537023
                 181           76.7554963         -103.2091986          -26.4537023
                 182           76.7449810         -103.1986834          -26.4537023
                 183           76.7343993         -103.1881016          -26.4537023
                 184           76.7237508         -103.1774530          -26.4537021
                 185           76.7130355         -103.1667378          -26.4537023
                 186           76.7022529         -103.1559553          -26.4537024
                 187           76.6914027         -103.1451051          -26.4537024
                 188           76.6804851         -103.1341875          -26.4537023
                 189           76.6695005         -103.1232027          -26.4537022
                 190           76.6584485         -103.1121507          -26.4537022
                 191           76.6473287         -103.1010306          -26.4537020
                 192           76.6361407         -103.0898427          -26.4537020
                 193           76.6248841         -103.0785861          -26.4537021
                 194           76.6135589         -103.0672608          -26.4537020
                 195           76.6021654         -103.0558674          -26.4537020
                 196           76.5907033         -103.0444055          -26.4537022
                 197           76.5791725         -103.0328748          -26.4537023
                 198           76.5675735         -103.0212757          -26.4537022
                 199           76.5559056         -103.0096079          -26.4537023
                 200           76.5441685         -102.9978710          -26.4537025
                 201           76.5323622         -102.9860649          -26.4537027
                 202           76.5204869         -102.9741895          -26.4537026
                 203           76.5085423         -102.9622450          -26.4537027
                 204           76.4965280         -102.9502308          -26.4537028
                 205           76.4844442         -102.9381471          -26.4537030
                 206           76.4722902         -102.9259930          -26.4537028
                 207           76.4600657         -102.9137684          -26.4537028
                 208           76.4477707         -102.9014734          -26.4537027
                 209           76.4354054         -102.8891080          -26.4537026
                 210           76.4229696         -102.8766724          -26.4537028
                 211           76.4104634         -102.8641665          -26.4537031
                 212           76.3978864         -102.8515894          -26.4537031
                 213           76.3852380         -102.8389411          -26.4537030
                 214           76.3725179         -102.8262210          -26.4537030
                 215           76.3597258         -102.8134288          -26.4537030
                 216           76.3468625         -102.8005657          -26.4537031
                 217           76.3339286         -102.7876315          -26.4537030
                 218           76.3209236         -102.7746264          -26.4537028
                 219           76.3078468         -102.7615495          -26.4537027
                 220           76.2946979         -102.7484005          -26.4537026
                 221           76.2814768         -102.7351794          -26.4537026
                 222           76.2681837         -102.7218863          -26.4537026
                 223           76.2548177         -102.7085203          -26.4537026
                 224           76.2413781         -102.6950805          -26.4537025
                 225           76.2278649         -102.6815671          -26.4537022
                 226           76.2142781         -102.6679803          -26.4537022
                 227           76.2006171         -102.6543194          -26.4537023
                 228           76.1868825         -102.6405847          -26.4537021
                 229           76.1730744         -102.6267762          -26.4537018
                 230           76.1591927         -102.6128945          -26.4537018
                 231           76.1452370         -102.5989389          -26.4537019
                 232           76.1312071         -102.5849089          -26.4537018
                 233           76.1171024         -102.5708041          -26.4537017
                 234           76.1029222         -102.5566239          -26.4537017
                 235           76.0886665         -102.5423682          -26.4537016
                 236           76.0743353         -102.5280370          -26.4537017
                 237           76.0599286         -102.5136304          -26.4537018
                 238           76.0454464         -102.4991483          -26.4537019
                 239           76.0308884         -102.4845903          -26.4537019
                 240           76.0162542         -102.4699561          -26.4537019
                 241           76.0015438         -102.4552457          -26.4537019
                 242           75.9867576         -102.4404595          -26.4537019
                 243           75.9718954         -102.4255974          -26.4537020
                 244           75.9569572         -102.4106593          -26.4537020
                 245           75.9419431         -102.3956450          -26.4537019
                 246           75.9268524         -102.3805542          -26.4537018
                 247           75.9116844         -102.3653863          -26.4537019
                 248           75.8964393         -102.3501413          -26.4537020
                 249           75.8811168         -102.3348186          -26.4537018
                 250           75.8657170         -102.3194187          -26.4537017
                 251           75.8502395         -102.3039412          -26.4537017
                 252           75.8346834         -102.2883851          -26.4537016
                 253           75.8190488         -102.2727504          -26.4537016
                 254           75.8033360         -102.2570377          -26.4537017
                 255           75.7875450         -102.2412468          -26.4537018
                 256           75.7716752         -102.2253768          -26.4537016
                 257           75.7557263         -102.2094281          -26.4537017
                 258           75.7396978         -102.1933995          -26.4537017
                 259           75.7235894         -102.1772911          -26.4537018
                 260           75.7074012         -102.1611028          -26.4537016
                 261           75.6911330         -102.1448346          -26.4537016
                 262           75.6747844         -102.1284860          -26.4537016
                 263           75.6583550         -102.1120566          -26.4537016
                 264           75.6418451         -102.0955469          -26.4537018
                 265           75.6252545         -102.0789565          -26.4537020
                 266           75.6085826         -102.0622845          -26.4537019
                 267           75.5918295         -102.0455313          -26.4537018
                 268           75.5749949         -102.0286966          -26.4537017
                 269           75.5580785         -102.0117802          -26.4537017
                 270           75.5410801         -101.9947819          -26.4537017
                 271           75.5239997         -101.9777015          -26.4537018
                 272           75.5068371         -101.9605389          -26.4537018
                 273           75.4895925         -101.9432944          -26.4537020
                 274           75.4722654         -101.9259673          -26.4537019
                 275           75.4548557         -101.9085575          -26.4537018
                 276           75.4373633         -101.8910651          -26.4537018
                 277           75.4197876         -101.8734894          -26.4537019
                 278           75.4021283         -101.8558299          -26.4537016
                 279           75.3843858         -101.8380878          -26.4537020
                 280           75.3665596         -101.8202616          -26.4537020
                 281           75.3486490         -101.8023512          -26.4537023
                 282           75.3306541         -101.7843564          -26.4537023
                 283           75.3125751         -101.7662775          -26.4537023
                 284           75.2944121         -101.7481146          -26.4537025
                 285           75.2761646         -101.7298672          -26.4537026
                 286           75.2578324         -101.7115348          -26.4537024
                 287           75.2394149         -101.6931174          -26.4537025
                 288           75.2209116         -101.6746139          -26.4537024
                 289           75.2023226         -101.6560251          -26.4537025
                 290           75.1836481         -101.6373506          -26.4537025
                 291           75.1648875         -101.6185899          -26.4537023
                 292           75.1460403         -101.5997427          -26.4537024
                 293           75.1271065         -101.5808090          -26.4537026
                 294           75.1080858         -101.5617884          -26.4537025
                 295           75.0889780         -101.5426807          -26.4537028
                 296           75.0697828         -101.5234856          -26.4537028
                 297           75.0504997         -101.5042026          -26.4537029
                 298           75.0311284         -101.4848314          -26.4537031
                 299           75.0116687         -101.4653719          -26.4537033
                 300           74.9921206         -101.4458240          -26.4537034
                 301           74.9724845         -101.4261881          -26.4537035
                 302           74.9527607         -101.4064640          -26.4537033
                 303           74.9329482         -101.3866515          -26.4537033
                 304           74.9130468         -101.3667500          -26.4537032
                 305           74.8930565         -101.3467596          -26.4537031
                 306           74.8729769         -101.3266801          -26.4537032
                 307           74.8528082         -101.3065113          -26.4537031
                 308           74.8325504         -101.2862535          -26.4537030
                 309           74.8122032         -101.2659065          -26.4537033
                 310           74.7917658         -101.2454691          -26.4537033
                 311           74.7712376         -101.2249410          -26.4537034
                 312           74.7506183         -101.2043218          -26.4537035
                 313           74.7299078         -101.1836112          -26.4537033
                 314           74.7091065         -101.1628099          -26.4537034
                 315           74.6882140         -101.1419174          -26.4537034
                 316           74.6672297         -101.1209332          -26.4537035
                 317           74.6461534         -101.0998566          -26.4537033
                 318           74.6249850         -101.0786883          -26.4537033
                 319           74.6037240         -101.0574274          -26.4537034
                 320           74.5823699         -101.0360732          -26.4537033
                 321           74.5609230         -101.0146263          -26.4537033
                 322           74.5393831         -100.9930865          -26.4537034
                 323           74.5177498         -100.9714532          -26.4537034
                 324           74.4960227         -100.9497261          -26.4537034
                 325           74.4742020         -100.9279054          -26.4537034
                 326           74.4522878         -100.9059913          -26.4537035
                 327           74.4302795         -100.8839830          -26.4537035
                 328           74.4081769         -100.8618805          -26.4537037
                 329           74.3859802         -100.8396838          -26.4537035
                 330           74.3636895         -100.8173931          -26.4537036
                 331           74.3413040         -100.7950076          -26.4537036
                 332           74.3188232         -100.7725268          -26.4537036
                 333           74.2962470         -100.7499505          -26.4537035
                 334           74.2735751         -100.7272787          -26.4537036
                 335           74.2508077         -100.7045114          -26.4537037
                 336           74.2279442         -100.6816479          -26.4537037
                 337           74.2049845         -100.6586881          -26.4537036
                 338           74.1819285         -100.6356321          -26.4537036
                 339           74.1587758         -100.6124794          -26.4537036
                 340           74.1355266         -100.5892303          -26.4537038
                 341           74.1121804         -100.5658843          -26.4537039
                 342           74.0887372         -100.5424409          -26.4537037
                 343           74.0651964         -100.5189003          -26.4537039
                 344           74.0415578         -100.4952617          -26.4537039
                 345           74.0178212         -100.4715250          -26.4537037
                 346           73.9939866         -100.4476903          -26.4537037
                 347           73.9700537         -100.4237575          -26.4537038
                 348           73.9460224         -100.3997262          -26.4537039
                 349           73.9218925         -100.3755965          -26.4537039
                 350           73.8976639         -100.3513680          -26.4537041
                 351           73.8733360         -100.3270401          -26.4537041
                 352           73.8489094         -100.3026135          -26.4537042
                 353           73.8243837         -100.2780878          -26.4537041
                 354           73.7997585         -100.2534627          -26.4537042
                 355           73.7750336         -100.2287378          -26.4537042
                 356           73.7502087         -100.2039128          -26.4537041
                 357           73.7252836         -100.1789877          -26.4537041
                 358           73.7002578         -100.1539620          -26.4537042
                 359           73.6751311         -100.1288354          -26.4537043
                 360           73.6499039         -100.1036082          -26.4537043
                 361           73.6245760         -100.0782804          -26.4537043
                 362           73.5991470         -100.0528515          -26.4537045
                 363           73.5736165         -100.0273210          -26.4537045
                 364           73.5479843         -100.0016889          -26.4537046
                 365           73.5222503          -99.9759549          -26.4537046
                 366           73.4964145          -99.9501190          -26.4537046
                 367           73.4704767          -99.9241813          -26.4537046
                 368           73.4444367          -99.8981413          -26.4537046
                 369           73.4182941          -99.8719986          -26.4537045
                 370           73.3920485          -99.8457528          -26.4537044
                 371           73.3656995          -99.8194040          -26.4537045
                 372           73.3392468          -99.7929513          -26.4537045
                 373           73.3126904          -99.7663948          -26.4537045
                 374           73.2860303          -99.7397347          -26.4537044
                 375           73.2592664          -99.7129706          -26.4537042
                 376           73.2323983          -99.6861027          -26.4537044
                 377           73.2054259          -99.6591304          -26.4537045
                 378           73.1783491          -99.6320537          -26.4537046
                 379           73.1511674          -99.6048720          -26.4537046
                 380           73.1238808          -99.5775854          -26.4537046
                 381           73.0964890          -99.5501936          -26.4537046
                 382           73.0689917          -99.5226964          -26.4537047
                 383           73.0413888          -99.4950936          -26.4537048
                 384           73.0136806          -99.4673856          -26.4537050
                 385           72.9858672          -99.4395723          -26.4537052
                 386           72.9579484          -99.4116536          -26.4537052
                 387           72.9299237          -99.3836288          -26.4537051
                 388           72.9017928          -99.3554979          -26.4537051
                 389           72.8735554          -99.3272605          -26.4537052
                 390           72.8452111          -99.2989163          -26.4537052
                 391           72.8167599          -99.2704650          -26.4537051
                 392           72.7882018          -99.2419069          -26.4537051
                 393           72.7595369          -99.2132420          -26.4537051
                 394           72.7307644          -99.1844696          -26.4537051
                 395           72.7018842          -99.1555893          -26.4537051
                 396           72.6728964          -99.1266013          -26.4537050
                 397           72.6438009          -99.0975060          -26.4537050
                 398           72.6145980          -99.0683030          -26.4537050
                 399           72.5852873          -99.0389922          -26.4537049
                 400           72.5558683          -99.0095733          -26.4537050
                 401           72.5263408          -98.9800458          -26.4537049
                 402           72.4967048          -98.9504098          -26.4537050
                 403           72.4669600          -98.9206651          -26.4537051
                 404           72.4371067          -98.8908116          -26.4537049
                 405           72.4071446          -98.8608497          -26.4537050
                 406           72.3770735          -98.8307786          -26.4537050
                 407           72.3468935          -98.8005987          -26.4537052
                 408           72.3166047          -98.7703099          -26.4537052
                 409           72.2862067          -98.7399120          -26.4537052
                 410           72.2556992          -98.7094043          -26.4537052
                 411           72.2250820          -98.6787871          -26.4537051
                 412           72.1943552          -98.6480602          -26.4537051
                 413           72.1635184          -98.6172234          -26.4537051
                 414           72.1325716          -98.5862767          -26.4537051
                 415           72.1015148          -98.5552200          -26.4537052
                 416           72.0703476          -98.5240528          -26.4537052
                 417           72.0390701          -98.4927752          -26.4537051
                 418           72.0076820          -98.4613871          -26.4537051
                 419           71.9761833          -98.4298883          -26.4537050
                 420           71.9445740          -98.3982791          -26.4537050
                 421           71.9128540          -98.3665590          -26.4537050
                 422           71.8810232          -98.3347281          -26.4537049
                 423           71.8490814          -98.3027864          -26.4537050
                 424           71.8170283          -98.2707334          -26.4537051
                 425           71.7848637          -98.2385689          -26.4537052
                 426           71.7525879          -98.2062929          -26.4537051
                 427           71.7202007          -98.1739058          -26.4537051
                 428           71.6877021          -98.1414071          -26.4537050
                 429           71.6550918          -98.1087968          -26.4537050
                 430           71.6223697          -98.0760748          -26.4537051
                 431           71.5895359          -98.0432409          -26.4537051
                 432           71.5565903          -98.0102954          -26.4537051
                 433           71.5235330          -97.9772382          -26.4537052
                 434           71.4903640          -97.9440692          -26.4537052
                 435           71.4570836          -97.9107889          -26.4537053
                 436           71.4236915          -97.8773969          -26.4537054
                 437           71.3901874          -97.8438928          -26.4537054
                 438           71.3565711          -97.8102764          -26.4537054
                 439           71.3228424          -97.7765479          -26.4537055
                 440           71.2890015          -97.7427069          -26.4537054
                 441           71.2550483          -97.7087537          -26.4537054
                 442           71.2209828          -97.6746882          -26.4537054
                 443           71.1868048          -97.6405101          -26.4537053
                 444           71.1525144          -97.6062198          -26.4537054
                 445           71.1181118          -97.5718173          -26.4537055
                 446           71.0835967          -97.5373022          -26.4537055
                 447           71.0489688          -97.5026745          -26.4537056
                 448           71.0142281          -97.4679337          -26.4537056
                 449           70.9793746          -97.4330803          -26.4537057
                 450           70.9444084          -97.3981141          -26.4537058
                 451           70.9093294          -97.3630351          -26.4537057
                 452           70.8741380          -97.3278438          -26.4537058
                 453           70.8388342          -97.2925401          -26.4537058
                 454           70.8034181          -97.2571240          -26.4537059
                 455           70.7678892          -97.2215951          -26.4537059
                 456           70.7322476          -97.1859535          -26.4537060
                 457           70.6964932          -97.1501991          -26.4537060
                 458           70.6606258          -97.1143317          -26.4537060
                 459           70.6246454          -97.0783514          -26.4537060
                 460           70.5885521          -97.0422582          -26.4537061
                 461           70.5523461          -97.0060522          -26.4537061
                 462           70.5160275          -96.9697336          -26.4537061
                 463           70.4795965          -96.9333026          -26.4537061
                 464           70.4430528          -96.8967589          -26.4537061
                 465           70.4063962          -96.8601023          -26.4537061
                 466           70.3696271          -96.8233331          -26.4537060
                 467           70.3327453          -96.7864513          -26.4537060
                 468           70.2957509          -96.7494570          -26.4537061
                 469           70.2586441          -96.7123503          -26.4537062
