           Time Step     Kinetic Energy eV     Potential Energy eV       Total Energy eV         Current Temp
                   1            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                   2            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                   3            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                   4            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                   5            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                   6            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                   7            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                   8            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                   9            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  10            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  11            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  12            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  13            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  14            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  15            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  16            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  17            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  18            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  19            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  20            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  21            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  22            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  23            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  24            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  25            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  26            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  27            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  28            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  29            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  30            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  31            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  32            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  33            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  34            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  35            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  36            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  37            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  38            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  39            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  40            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  41            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  42            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  43            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  44            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  45            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  46            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  47            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  48            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  49            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  50            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  51            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  52            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  53            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  54            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  55            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  56            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  57            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  58            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  59            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  60            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  61            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  62            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  63            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  64            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  65            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  66            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  67            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  68            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  69            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  70            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  71            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  72            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  73            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  74            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  75            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  76            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  77            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  78            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  79            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  80            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  81            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  82            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  83            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  84            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  85            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  86            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  87            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  88            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  89            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  90            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  91            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  92            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  93            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  94            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  95            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  96            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  97            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  98            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  99            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 100            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 101            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 102            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 103            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
