           Time Step     Kinetic Energy eV     Potential Energy eV       Total Energy eV         Current Temp
                   1           61.7507734          -39.6293561           22.1214174          149.3883017
                   2           61.1849031          -39.0594565           22.1254467          148.0193407
                   3           60.3132627          -38.1810281           22.1322346          145.9106565
                   4           59.2345413          -37.0904880           22.1440533          143.3009991
                   5           58.0710851          -35.9134246           22.1576605          140.4863502
                   6           56.9549480          -34.7833803           22.1715677          137.7861764
                   7           56.0128550          -33.8285985           22.1842566          135.5070523
                   8           55.3517617          -33.1575507           22.1942111          133.9077265
                   9           55.0466725          -32.8454373           22.2012353          133.1696507
                  10           55.1321045          -32.9270197           22.2050848          133.3763289
                  11           55.5981673          -33.3920292           22.2061381          134.5038342
                  12           56.3917165          -34.1863725           22.2053440          136.4235990
                  13           57.4224384          -35.2192060           22.2032324          138.9171354
                  14           58.5731633          -36.3737197           22.1994437          141.7009846
                  15           59.7132572          -37.5172675           22.1959897          144.4591151
                  16           60.7135433          -38.5193146           22.1942287          146.8790207
                  17           61.4610410          -39.2671681           22.1938729          148.6873772
                  18           61.8718609          -39.6762855           22.1955755          149.6812382
                  19           61.9007704          -39.7003395           22.2004309          149.7511763
                  20           61.5463421          -39.3378358           22.2085063          148.8937387
                  21           60.8510925          -38.6327876           22.2183048          147.2117814
                  22           59.8966058          -37.6662856           22.2303203          144.9026746
                  23           58.7941948          -36.5502907           22.2439042          142.2357070
                  24           57.6721619          -35.4134833           22.2586786          139.5212698
                  25           56.6611155          -34.3903773           22.2707382          137.0753328
                  26           55.8790263          -33.5977411           22.2812852          135.1832921
                  27           55.4177319          -33.1274838           22.2902481          134.0673224
                  28           55.3324152          -33.0366684           22.2957468          133.8609233
                  29           55.6352743          -33.3369162           22.2983581          134.5936039
                  30           56.2941052          -33.9966122           22.2974930          136.1874564
                  31           57.2359624          -34.9401883           22.2957741          138.4660102
                  32           58.3554687          -36.0636922           22.2917765          141.1743348
                  33           59.5268287          -37.2398135           22.2870152          144.0081048
                  34           60.6181888          -38.3355757           22.2826131          146.6483378
                  35           61.5066978          -39.2257078           22.2809900          148.7978307
                  36           62.0925343          -39.8110279           22.2815064          150.2150941
                  37           62.3103071          -40.0257281           22.2845791          150.7419332
                  38           62.1365372          -39.8471126           22.2894246          150.3215465
                  39           61.5923561          -39.2955076           22.2968485          149.0050564
                  40           60.7411142          -38.4344452           22.3066690          146.9457205
                  41           59.6811694          -37.3616841           22.3194853          144.3814878
                  42           58.5346778          -36.2017320           22.3329458          141.6078800
                  43           57.4336724          -35.0885723           22.3451001          138.9443127
                  44           56.5050130          -34.1496731           22.3553399          136.6976876
                  45           55.8559298          -33.4921462           22.3637836          135.1274167
                  46           55.5618029          -33.1933893           22.3684137          134.4158610
                  47           55.6575763          -33.2874887           22.3700876          134.6475573
                  48           56.1337906          -33.7645515           22.3692391          135.7996214
                  49           56.9376812          -34.5703937           22.3672875          137.7444043
                  50           57.9792104          -35.6164268           22.3627836          140.2640856
                  51           59.1413541          -36.7838897           22.3574644          143.0755594
                  52           60.2934704          -37.9401926           22.3532778          145.8627747
                  53           61.3062092          -38.9573864           22.3488228          148.3128060
                  54           62.0662741          -39.7186356           22.3476385          150.1515652
                  55           62.4893395          -40.1416293           22.3477102          151.1750508
                  56           62.5296588          -40.1798293           22.3498295          151.2725916
                  57           62.1852680          -39.8284793           22.3567887          150.4394369
                  58           61.4981746          -39.1339495           22.3642251          148.7772112
                  59           60.5495263          -38.1753070           22.3742194          146.4822286
                  60           59.4503146          -37.0649189           22.3853957          143.8230008
                  61           58.3286644          -35.9331037           22.3955607          141.1094895
                  62           57.3151626          -34.9095121           22.4056506          138.6576124
                  63           56.5279038          -34.1136165           22.4142872          136.7530652
                  64           56.0589655          -33.6399290           22.4190365          135.6186034
                  65           55.9638570          -33.5418345           22.4220225          135.3885156
                  66           56.2551396          -33.8334006           22.4217390          136.0931905
                  67           56.9009626          -34.4817757           22.4191869          137.6555741
                  68           57.8286681          -35.4145330           22.4141351          139.8998918
                  69           58.9330630          -36.5255790           22.4074840          142.5716587
                  70           60.0884101          -37.6882224           22.4001877          145.3666899
                  71           61.1627716          -38.7690091           22.3937625          147.9657998
                  72           62.0330658          -39.6456850           22.3873808          150.0712273
                  73           62.5991209          -40.2136889           22.3854321          151.4406353
                  74           62.7951094          -40.4098884           22.3852210          151.9147733
                  75           62.5970715          -40.2098618           22.3872097          151.4356774
                  76           62.0256646          -39.6330163           22.3926483          150.0533221
                  77           61.1438115          -38.7441871           22.3996244          147.9199313
                  78           60.0495357          -37.6407548           22.4087810          145.2726446
                  79           58.8647878          -36.4465663           22.4182215          142.4064865
                  80           57.7215361          -35.2953271           22.4262090          139.6407166
                  81           56.7467153          -34.3138695           22.4328458          137.2824170
                  82           56.0477537          -33.6091816           22.4385721          135.5914798
                  83           55.7003164          -33.2584901           22.4418263          134.7509547
                  84           55.7396857          -33.2973957           22.4422899          134.8461974
                  85           56.1567469          -33.7171767           22.4395702          135.8551575
                  86           56.8990373          -34.4636303           22.4354071          137.6509165
                  87           57.8767447          -35.4484945           22.4282502          140.0161992
                  88           58.9729681          -36.5521147           22.4208534          142.6681978
                  89           60.0570656          -37.6440480           22.4130176          145.2908609
                  90           60.9995712          -38.5931393           22.4064318          147.5709831
                  91           61.6869758          -39.2854496           22.4015262          149.2339617
                  92           62.0346739          -39.6368196           22.3978542          150.0751175
                  93           61.9966090          -39.5996924           22.3969166          149.9830304
                  94           61.5705179          -39.1709824           22.3995355          148.9522250
                  95           60.7981702          -38.3943620           22.4038082          147.0837513
                  96           59.7605763          -37.3497069           22.4108694          144.5735901
                  97           58.5687065          -36.1504406           22.4182659          141.6902027
                  98           57.3507868          -34.9242309           22.4265559          138.7437948
                  99           56.2376356          -33.8045474           22.4330882          136.0508444
                 100           55.3476962          -32.9091083           22.4385879          133.8978913
                 101           54.7734741          -32.3311463           22.4423278          132.5087254
                 102           54.5709513          -32.1281988           22.4427524          132.0187793
                 103           54.7531777          -32.3119852           22.4411925          132.4596239
                 104           55.2887687          -32.8535025           22.4352663          133.7553330
                 105           56.1054753          -33.6769648           22.4285105          135.7311204
                 106           57.0984310          -34.6776600           22.4207710          138.1332924
                 107           58.1421402          -35.7304375           22.4117028          140.6582477
                 108           59.1048245          -36.7024353           22.4023892          142.9871864
                 109           59.8634894          -37.4695601           22.3939293          144.8225588
                 110           60.3180018          -37.9288577           22.3891441          145.9221213
                 111           60.4025640          -38.0168073           22.3857568          146.1266954
                 112           60.0932564          -37.7077011           22.3855553          145.3784142
                 113           59.4108179          -37.0242736           22.3865443          143.7274498
                 114           58.4183222          -36.0263237           22.3919984          141.3263908
                 115           57.2140123          -34.8153551           22.3986572          138.4129083
                 116           55.9201346          -33.5146952           22.4054394          135.2827418
                 117           54.6690257          -32.2557921           22.4132336          132.2560423
                 118           53.5880471          -31.1698836           22.4181635          129.6409244
                 119           52.7850869          -30.3635862           22.4215007          127.6983922
                 120           52.3362839          -29.9138204           22.4224636          126.6126421
                 121           52.2773773          -29.8552589           22.4221184          126.4701343
                 122           52.5996776          -30.1821379           22.4175397          127.2498475
                 123           53.2511017          -30.8405110           22.4105907          128.8257815
                 124           54.1421615          -31.7414004           22.4007611          130.9814453
                 125           55.1562262          -32.7657101           22.3905161          133.4346844
                 126           56.1628770          -33.7823300           22.3805470          135.8699876
                 127           57.0328385          -34.6604202           22.3724183          137.9746102
                 128           57.6527715          -35.2865870           22.3661845          139.4743604
                 129           57.9382372          -35.5759136           22.3623237          140.1649629
                 130           57.8433465          -35.4817095           22.3616371          139.9354020
                 131           57.3660167          -35.0033554           22.3626613          138.7806392
                 132           56.5482129          -34.1827352           22.3654777          136.8021973
                 133           55.4711373          -33.0999985           22.3711388          134.1965215
                 134           54.2459423          -31.8676575           22.3782848          131.2325134
                 135           53.0010220          -30.6157756           22.3852463          128.2207852
                 136           51.8673261          -29.4761144           22.3912118          125.4781331
                 137           50.9633792          -28.5679797           22.3953995          123.2912925
                 138           50.3817182          -27.9839621           22.3977561          121.8841303
                 139           50.1783018          -27.7810746           22.3972272          121.3920226
                 140           50.3661064          -27.9721141           22.3939923          121.8463622
                 141           50.9136362          -28.5252395           22.3883967          123.1709536
                 142           51.7485142          -29.3680464           22.3804678          125.1907016
                 143           52.7657498          -30.3947079           22.3710419          127.6516117
                 144           53.8397433          -31.4780323           22.3617110          130.2498312
                 145           54.8386514          -32.4858738           22.3527776          132.6664031
                 146           55.6394642          -33.2948770           22.3445872          134.6037401
                 147           56.1420638          -33.8032903           22.3387735          135.8196358
                 148           56.2806853          -33.9436896           22.3369956          136.1549908
                 149           56.0314626          -33.6955168           22.3359459          135.5520681
                 150           55.4151641          -33.0774899           22.3376742          134.0611104
                 151           54.4948363          -32.1526148           22.3422215          131.8346409
                 152           53.3686263          -31.0198296           22.3487966          129.1100985
                 153           52.1585888          -29.8024288           22.3561600          126.1827596
                 154           50.9967603          -28.6346526           22.3621077          123.3720486
                 155           50.0100929          -27.6433397           22.3667532          120.9850895
                 156           49.3059674          -26.9352018           22.3707656          119.2816596
                 157           48.9599477          -26.5892673           22.3706804          118.4445640
                 158           49.0071663          -26.6369132           22.3702532          118.5587959
                 159           49.4383271          -27.0722593           22.3660677          119.6018658
                 160           50.2007850          -27.8404545           22.3603305          121.4464143
                 161           51.2045758          -28.8520983           22.3524775          123.8747985
                 162           52.3326988          -29.9901440           22.3425548          126.6039689
                 163           53.4544843          -31.1225573           22.3319270          129.3178075
                 164           54.4405238          -32.1179695           22.3225543          131.7032475
                 165           55.1774442          -32.8612570           22.3161872          133.4860153
                 166           55.5808380          -33.2681692           22.3126688          134.4619109
                 167           55.6048887          -33.2940171           22.3108716          134.5200947
                 168           55.2475797          -32.9355112           22.3120685          133.6556880
                 169           54.5508782          -32.2341102           22.3167680          131.9702184
                 170           53.5959034          -31.2734146           22.3224889          129.6599305
                 171           52.4936124          -30.1647480           22.3288643          126.9932531
                 172           51.3720786          -29.0360117           22.3360669          124.2800235
                 173           50.3618172          -28.0201185           22.3416987          121.8359856
                 174           49.5808247          -27.2346346           22.3461900          119.9465980
                 175           49.1210628          -26.7723279           22.3487349          118.8343358
                 176           49.0379162          -26.6890032           22.3489130          118.6331865
                 177           49.3438353          -26.9992647           22.3445707          119.3732702
                 178           50.0068955          -27.6685016           22.3383939          120.9773543
                 179           50.9544290          -28.6248688           22.3295602          123.2696400
                 180           52.0813233          -29.7606484           22.3206749          125.9958378
                 181           53.2620295          -30.9515115           22.3105179          128.8522181
                 182           54.3649069          -32.0640816           22.3008252          131.5203140
                 183           55.2672692          -32.9742327           22.2930366          133.7033212
                 184           55.8694078          -33.5810671           22.2883408          135.1600230
